lambda	T(lambda)	1/T	baseline					Derivative Y1		T(lambda)	Derivative Y 2
500	60.474	0.016536032013758	0.0166124053991821	-7.63733854240757E-5	1	500.7	2.47453565008987	5.5	2.478	60.474	10.0907990314645
500.1	60.469	0.0165373993285816	0.016612859142633	-7.54598140513818E-5	2	506.2	2.44764915053339	3.09999999999999	2.47750449910018	60.469	11.1023007263846
500.2	60.463	0.0165390404048757	0.0166133128860839	-7.42724812081742E-5	3	506.9	2.44426908660485	0.75	2.47700919632147	60.463	11.106337449556
500.3	60.458	0.0165404082172748	0.0166137666295348	-7.33584122599926E-5	4	507.7	2.44041756943077	0.800000000000011	2.47651409154507	60.458	10.1008914447139
500.4	60.453	0.0165417762559344	0.0166142203729857	-7.24441170513457E-5	5	508.5	2.43657817109145	0.849999999999994	2.47601918465228	60.453	18.1904891041137
500.5	60.44	0.0165453342157512	0.0166146741164366	-6.93399006854618E-5	6	509.4	2.43227326266196	0.900000000000006	2.47552447552448	60.44	21.2278248587511
500.6	60.432	0.0165475244903362	0.0166151278598875	-6.76033695512883E-5	7	510.3	2.42798353909465	0.900000000000006	2.47502996404315	60.432	18.2038200161477
500.7	60.422	0.0165502631491841	0.0166155816033384	-6.53184541543721E-5	8	511.2	2.42370892018779	0.99999999999997	2.47453565008987	60.422	7.07930799032491
500.8	60.425	0.0165494414563508	0.0166160353467894	-6.65938904385079E-5	9	512.3	2.41850478235409	1.04999999999998	2.47404153354633	60.425	-4.04803228410489
500.9	60.426	0.0165491675768709	0.0166164890902403	-6.73215133693839E-5	10	513.3	2.41379310344828	1.05000000000001	2.47354761429427	60.426	-1.01231121872987
501	60.426	0.0165491675768709	0.0166169428336912	-6.77752568202968E-5	11	514.4	2.40863141524106	1.15000000000003	2.47305389221557	60.426	8.10495883777751
501.1	60.418	0.0165513588665629	0.0166173965771421	-6.6037710579149E-5	12	515.6	2.40302560124127	1.25	2.47256036719218	60.418	12.1590560129182
501.2	60.414	0.0165524547290363	0.016617850320593	-6.53955915566919E-5	13	516.9	2.39698200812536	1.30000000000001	2.47206703910615	60.414	7.09588361581794
501.3	60.411	0.0165532767211269	0.0166183040640439	-6.50273429169748E-5	14	518.2	2.39096873793902	1.35000000000002	2.47157390783962	60.411	13.1851205811139
501.4	60.401	0.016556017284482	0.0166187578074948	-6.2740523012788E-5	15	519.6	2.38452655889146	1.39999999999998	2.47108097327483	60.401	26.3791436642485
501.5	60.385	0.0165604040738594	0.0166192115509457	-5.88074770863437E-5	16	521	2.37811900191939	1.44999999999999	2.47058823529412	60.385	27.4023809523774
501.6	60.374	0.0165634213403121	0.0166195195247113	-5.60981843992711E-5	17	522.5	2.37129186602871	1.5	2.4700956937799	60.374	17.2598576271152
501.7	60.368	0.0165650675854757	0.016619801468176	-5.47338827002093E-5	18	524	2.36450381679389	1.55000000000001	2.46960334861471	60.368	5.07733357546929
501.8	60.369	0.016564793188557	0.0166200834116406	-5.52902230835477E-5	19	525.6	2.35730593607306	1.64999999999998	2.46911119968115	60.369	-3.04866787731958
501.9	60.371	0.0165642444219907	0.0166203653551052	-5.61209331145229E-5	20	527.3	2.34970604968709	1.75	2.46861924686192	60.371	8.10169492660773E-4
502	60.369	0.016564793188557	0.0166206472985698	-5.58541100128054E-5	21	529.1	2.34171234171234	1.80000000000001	2.46812749003984	60.369	10.1708684422993
502.1	60.361	0.0165669886184788	0.0166209292420345	-5.39406235556539E-5	22	530.9	2.333772838576	1.84999999999997	2.46763592909779	60.361	16.2779280064583
502.2	60.353	0.0165691846304243	0.0166212111854991	-5.20265550747676E-5	23	532.8	2.32545045045045	1.94999999999999	2.46714456391876	60.353	9.15856343825872
502.3	60.352	0.0165694591728526	0.0166214931289637	-5.20339561111346E-5	24	534.8	2.31675392670157	2.05000000000001	2.46665339438583	60.352	4.07313002421777
502.4	60.349	0.0165702828547283	0.0166217750724284	-5.14922177000318E-5	25	536.9	2.30769230769231	2.10000000000002	2.46616242038217	60.349	10.186676997574
502.5	60.342	0.0165722050976103	0.016622057015893	-4.98519182827069E-5	26	539	2.2987012987013	2.15000000000003	2.46567164179104	60.342	15.285084745756
502.6	60.334	0.0165744024927901	0.0166223389593576	-4.79364665674879E-5	27	541.2	2.28935698447894	2.25	2.46518105849582	60.334	13.2515621468947
502.7	60.329	0.0165757761607187	0.0166226209028223	-4.68447421035252E-5	28	543.5	2.27966881324747	2.34999999999997	2.46469067037995	60.329	5.0980028248627
502.8	60.329	0.0165757761607187	0.0166229028462869	-4.71266855681558E-5	29	545.9	2.26964645539476	2.39999999999998	2.46420047732697	60.329	-1.02041210653489
502.9	60.33	0.0165755014089176	0.0166231847897515	-4.76833808338885E-5	30	548.3	2.25971183658581	2.5	2.46371047922052	60.33	6.12531388216528
503	60.323	0.0165774248628218	0.0166234667332161	-4.60418703943297E-5	31	550.9	2.24904701397713	1.95000000000005	2.46322067594433	60.323	13.2730698143668
503.1	60.317	0.0165790738929323	0.0166236283484522	-4.45544555198948E-5	32	552.2	2.24375226367258	1.30000000000001	2.46273106738223	60.317	13.2787539951574
503.2	60.31	0.0165809981760902	0.0166237376470672	-4.27394709770317E-5	33	553.5	2.23848238482385	1.25	2.46224165341812	60.31	4.08530169491467
503.3	60.313	0.0165801734286141	0.0166238469456822	-4.36735170681671E-5	34	554.7	2.23363980530016	1.30000000000001	2.46175243393602	60.313	-6.13343559321935
503.4	60.316	0.0165793487631806	0.0166239562442972	-4.46074811166382E-5	35	556.1	2.22801654378709	1.29999999999995	2.46126340882002	60.316	3.06976489104249
503.5	60.31	0.0165809981760902	0.0166240655429122	-4.30673668220145E-5	36	557.3	2.22321909205096	1.39999999999998	2.46077457795432	60.31	14.3231323648134
503.6	60.302	0.0165831979038838	0.0166241748415272	-4.09769376434263E-5	37	558.9	2.21685453569512	1.35000000000002	2.46028594122319	60.302	17.3989938660287
503.7	60.293	0.0165856732954074	0.0166242841401422	-3.86108447347801E-5	38	560	2.2125	1.44999999999999	2.45979749851102	60.293	8.1888854721633
